Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Colorado,US,2020-04-29 02:32:29,10,0,0,37.31940883,-102.5603223
Georgia,US,2020-04-29 02:32:29,22,1,0,31.55456473,-82.45936528
Florida,US,2020-04-29 02:32:29,20,3,0,30.33060121,-82.28467476
Georgia,US,2020-04-29 02:32:29,21,2,0,31.32669878,-84.44218806
Alabama,US,2020-04-29 02:32:29,171,3,0,30.72774991,-87.72207058
Georgia,US,2020-04-29 02:32:29,202,6,0,33.06882326,-83.24701748
Kentucky,US,2020-04-29 02:32:29,9,0,0,37.05842757,-88.99427697
Maryland,US,2020-04-29 02:32:29,2631,107,0,39.45784712,-76.62911955
Maryland,US,2020-04-29 02:32:29,1977,90,0,39.30211911,-76.61151012
South Carolina,US,2020-04-29 02:32:29,9,0,0,33.21927586,-81.05659969
Texas,US,2020-04-29 02:32:29,6,0,0,29.74619598,-99.24598147
Georgia,US,2020-04-29 02:32:29,18,0,0,34.35607081,-83.49644388
Idaho,US,2020-04-29 02:32:29,10,0,0,42.67002716,-112.2233311
Michigan,US,2020-04-29 02:32:29,0,0,0,46.6720582,-88.36363591
Kansas,US,2020-04-29 02:32:29,1,0,0,37.2288586,-98.68460053
Alabama,US,2020-04-29 02:32:29,37,0,0,31.868263,-85.3871286
West Virginia,US,2020-04-29 02:32:29,4,1,0,39.1307219,-80.00350858
North Dakota,US,2020-04-29 02:32:29,4,0,0,46.93579637,-98.06605978
Massachusetts,US,2020-04-29 02:32:29,820,39,0,41.72980578,-70.28854339
South Carolina,US,2020-04-29 02:32:29,17,0,0,33.26679302,-81.43584352
Kentucky,US,2020-04-29 02:32:29,15,0,0,36.96469836,-85.93338945
Wisconsin,US,2020-04-29 02:32:29,6,0,0,45.42372701,-91.84833627
Georgia,US,2020-04-29 02:32:29,123,4,0,33.99148694,-83.71436292
Michigan,US,2020-04-29 02:32:29,31,1,0,42.59513984,-85.30834519
Missouri,US,2020-04-29 02:32:29,6,0,0,36.70978521,-93.82919888
Indiana,US,2020-04-29 02:32:29,238,11,0,39.20744865,-85.89558181
Kansas,US,2020-04-29 02:32:29,9,0,0,38.47889676,-98.75636726
Georgia,US,2020-04-29 02:32:29,298,30,0,34.23732119,-84.83887523
Texas,US,2020-04-29 02:32:29,59,2,0,30.10370699,-97.31206354
Missouri,US,2020-04-29 02:32:29,6,1,0,38.25271289,-94.34113157
Kentucky,US,2020-04-29 02:32:29,4,0,0,38.14735938,-83.74588932
Virginia,US,2020-04-29 02:32:29,0,0,0,38.05852573,-79.73912095
Arkansas,US,2020-04-29 02:32:29,5,0,0,36.28784385,-92.33782872
Florida,US,2020-04-29 02:32:29,70,2,0,30.26548745,-85.62122584
Michigan,US,2020-04-29 02:32:29,135,4,0,43.70639106,-83.98731479
